judge,corruption,severity,sc_success,sc_preserve,phi,reward
OpenGVLab/InternVL3-2B,blur,1,10.55,9.643,9.185,0.2
OpenGVLab/InternVL3-2B,blur,3,9.954,8.947,8.511,0.184
OpenGVLab/InternVL3-2B,jpeg,1,10.277,9.284,8.834,0.195
OpenGVLab/InternVL3-2B,jpeg,3,10.433,9.368,8.737,0.192
OpenGVLab/InternVL3-2B,noise,1,10.328,9.475,9.004,0.197
OpenGVLab/InternVL3-2B,noise,3,10.468,9.401,8.725,0.191
OpenGVLab/InternVL3-2B,none,0,10.296,9.769,9.183,0.203
OpenGVLab/InternVL3-2B,remove,binary,9.935,8.598,8.112,0.178
OpenGVLab/InternVL3-2B,saturate,1,10.008,9.2,8.67,0.192
OpenGVLab/InternVL3-2B,saturate,3,10.492,9.874,9.326,0.204
Qwen/Qwen3-VL-8B-Instruct,blur,1,13.151,12.878,12.637,0.456
Qwen/Qwen3-VL-8B-Instruct,blur,3,12.279,11.702,11.46,0.415
Qwen/Qwen3-VL-8B-Instruct,jpeg,1,13.046,12.878,12.773,0.46
Qwen/Qwen3-VL-8B-Instruct,jpeg,3,13.368,13.084,12.8,0.45
Qwen/Qwen3-VL-8B-Instruct,noise,1,13.571,13.361,13.172,0.474
Qwen/Qwen3-VL-8B-Instruct,noise,3,13.319,12.826,12.647,0.427
Qwen/Qwen3-VL-8B-Instruct,none,0,13.571,13.393,13.13,0.475
Qwen/Qwen3-VL-8B-Instruct,remove,binary,12.248,11.765,11.481,0.411
Qwen/Qwen3-VL-8B-Instruct,saturate,1,13.414,13.319,13.141,0.473
Qwen/Qwen3-VL-8B-Instruct,saturate,3,13.718,13.508,13.309,0.472
