judge,corruption,auroc,n,mean_delta_target,mean_delta_other
OpenGVLab/InternVL3-2B,blur,0.48901379662749106,1286,-0.04422590621719926,-0.05038192873640458
OpenGVLab/InternVL3-2B,jpeg,0.5020647730554754,1286,-0.03550048516370034,-0.03461757890137725
OpenGVLab/InternVL3-2B,noise,0.49898497034058337,1286,-0.032228191060165064,-0.03062585481857252
OpenGVLab/InternVL3-2B,remove,0.4979505009886472,1286,-0.06595377529277698,-0.0676289061891001
OpenGVLab/InternVL3-2B,saturate,0.49365571749127996,1286,-0.0289613030411921,-0.032635568930029724
Qwen/Qwen3-VL-8B-Instruct,blur,0.5293597332789005,1810,-0.09171039276911512,-0.06536666266431215
Qwen/Qwen3-VL-8B-Instruct,jpeg,0.5260820796198789,1806,-0.0630888030072139,-0.039519666615189214
Qwen/Qwen3-VL-8B-Instruct,noise,0.510287672087274,1810,-0.06696554803145195,-0.06703343341092016
Qwen/Qwen3-VL-8B-Instruct,remove,0.5330339525073144,1810,-0.14838543394113352,-0.1120018072753011
Qwen/Qwen3-VL-8B-Instruct,saturate,0.5234231475811392,1810,-0.031087896039714836,-0.020965624569933533
