judge,corruption,auroc,n,mean_delta_target,mean_delta_other
OpenGVLab/InternVL3-2B,blur,0.49191447646130937,1286,-1.6529126213592236,-1.922196796338673
OpenGVLab/InternVL3-2B,jpeg,0.4994862366976961,1286,-1.5533980582524274,-1.5171624713958813
OpenGVLab/InternVL3-2B,noise,0.5047071826886761,1286,-1.2500000000000002,-1.15675057208238
OpenGVLab/InternVL3-2B,remove,0.5009011686032303,1286,-2.866504854368932,-2.9279176201372996
OpenGVLab/InternVL3-2B,saturate,0.49347798315967206,1286,-1.2451456310679614,-1.4038901601830667
Qwen/Qwen3-VL-8B-Instruct,blur,0.5281484600031752,1810,-2.416960093896714,-1.480810520665593
Qwen/Qwen3-VL-8B-Instruct,jpeg,0.5231888947250799,1806,-1.3542034097589655,-0.6595372612321766
Qwen/Qwen3-VL-8B-Instruct,noise,0.49897371345626096,1810,-1.0613262910798125,-1.0846752549651102
Qwen/Qwen3-VL-8B-Instruct,remove,0.5384304619990476,1810,-3.7549882629107985,-2.376945786366076
Qwen/Qwen3-VL-8B-Instruct,saturate,0.5176346930212514,1810,-0.5771713615023476,-0.33185721953837904
