judge,corruption,severity,n_target,target_unchanged,target_dropped,target_rose,other_unchanged
OpenGVLab/InternVL3-2B,blur,1,206,0.7281553398058253,0.16019417475728157,0.11165048543689321,0.7185354691075515
OpenGVLab/InternVL3-2B,blur,3,206,0.6990291262135923,0.19902912621359223,0.10194174757281553,0.6910755148741419
OpenGVLab/InternVL3-2B,jpeg,1,206,0.7330097087378641,0.16990291262135923,0.0970873786407767,0.7368421052631579
OpenGVLab/InternVL3-2B,jpeg,3,206,0.7087378640776699,0.18932038834951456,0.10194174757281553,0.7139588100686499
OpenGVLab/InternVL3-2B,noise,1,206,0.7572815533980582,0.1553398058252427,0.08737864077669903,0.7482837528604119
OpenGVLab/InternVL3-2B,noise,3,206,0.7427184466019418,0.17475728155339806,0.0825242718446602,0.7345537757437071
OpenGVLab/InternVL3-2B,remove,binary,412,0.6844660194174758,0.22572815533980584,0.08980582524271845,0.6727688787185355
OpenGVLab/InternVL3-2B,saturate,1,206,0.7281553398058253,0.1941747572815534,0.07766990291262135,0.7368421052631579
OpenGVLab/InternVL3-2B,saturate,3,206,0.7378640776699029,0.1553398058252427,0.10679611650485436,0.7368421052631579
Qwen/Qwen3-VL-8B-Instruct,blur,1,284,0.7887323943661971,0.14084507042253522,0.07042253521126761,0.8276972624798712
Qwen/Qwen3-VL-8B-Instruct,blur,3,284,0.6549295774647887,0.2887323943661972,0.056338028169014086,0.7455716586151369
Qwen/Qwen3-VL-8B-Instruct,jpeg,1,284,0.8063380281690141,0.11971830985915492,0.07394366197183098,0.8454106280193237
Qwen/Qwen3-VL-8B-Instruct,jpeg,3,283,0.7314487632508834,0.21554770318021202,0.053003533568904596,0.7750809061488673
Qwen/Qwen3-VL-8B-Instruct,noise,1,284,0.8380281690140845,0.09154929577464789,0.07042253521126761,0.8518518518518519
Qwen/Qwen3-VL-8B-Instruct,noise,3,284,0.7605633802816901,0.19014084507042253,0.04929577464788732,0.7745571658615137
Qwen/Qwen3-VL-8B-Instruct,remove,binary,568,0.6214788732394366,0.31514084507042256,0.06338028169014084,0.6964573268921095
Qwen/Qwen3-VL-8B-Instruct,saturate,1,284,0.8485915492957746,0.10211267605633803,0.04929577464788732,0.855072463768116
Qwen/Qwen3-VL-8B-Instruct,saturate,3,284,0.823943661971831,0.11267605633802817,0.06338028169014084,0.8373590982286635
